model,game,money,social_distance,share_pct_mean
humans,dictator,10,2,0.41
humans,dictator,10,20,0.19
humans,dictator,10,100,0.12
humans,dictator,3000,2,0.29
humans,dictator,3000,20,0.1
humans,dictator,3000,100,0.05
humans,dictator,250000,2,0.25
humans,dictator,250000,20,0.05
humans,dictator,250000,100,0.025
humans,ultimatum,10,2,0.47
humans,ultimatum,10,20,0.35
humans,ultimatum,10,100,0.26
humans,ultimatum,3000,2,0.38
humans,ultimatum,3000,20,0.23
humans,ultimatum,3000,100,0.16
humans,ultimatum,250000,2,0.34
humans,ultimatum,250000,20,0.19
humans,ultimatum,250000,100,0.14
