run_tag,created_utc,model,game,social_distance,money,rep,raw_response,share,parse_error,latency_s,share_pct
20260115T093658Z,2026-01-15T09:36:58.358798+00:00,google/gemini-3-flash-preview,dictator,2,10,1,I share 5 dollars.,5.0,,1.4987475872039795,0.5
20260115T093658Z,2026-01-15T09:37:00.063898+00:00,google/gemini-3-flash-preview,dictator,2,10,2,I share 5 dollars.,5.0,,1.3499083518981934,0.5
20260115T093658Z,2026-01-15T09:37:01.615805+00:00,google/gemini-3-flash-preview,dictator,2,10,3,I share 5 dollars.,5.0,,1.026902675628662,0.5
20260115T093658Z,2026-01-15T09:37:11.230533+00:00,google/gemini-3-flash-preview,dictator,2,3000,1,I share 1500 dollars,1500.0,,1.329585075378418,0.5
20260115T093658Z,2026-01-15T09:37:12.764236+00:00,google/gemini-3-flash-preview,dictator,2,3000,2,I share 1500 dollars,1500.0,,1.2462735176086426,0.5
20260115T093658Z,2026-01-15T09:37:14.215686+00:00,google/gemini-3-flash-preview,dictator,2,3000,3,I share 1500 dollars,1500.0,,7.483725309371948,0.5
20260115T093658Z,2026-01-15T09:37:27.630982+00:00,google/gemini-3-flash-preview,dictator,2,250000,1,I share 125000 dollars,125000.0,,1.1112792491912842,0.5
20260115T093658Z,2026-01-15T09:37:28.947487+00:00,google/gemini-3-flash-preview,dictator,2,250000,2,I share 125000 dollars,125000.0,,1.1406683921813965,0.5
20260115T093658Z,2026-01-15T09:37:30.292194+00:00,google/gemini-3-flash-preview,dictator,2,250000,3,I share 125000 dollars,125000.0,,1.3314917087554932,0.5
20260115T093658Z,2026-01-15T09:37:36.130364+00:00,google/gemini-3-flash-preview,dictator,20,10,1,I share 5 dollars.,5.0,,1.4312505722045898,0.5
20260115T093658Z,2026-01-15T09:37:37.763535+00:00,google/gemini-3-flash-preview,dictator,20,10,2,I share 5 dollars.,5.0,,1.3430070877075195,0.5
20260115T093658Z,2026-01-15T09:37:39.311270+00:00,google/gemini-3-flash-preview,dictator,20,10,3,I share 5 dollars.,5.0,,1.322801113128662,0.5
20260115T093658Z,2026-01-15T09:37:45.447825+00:00,google/gemini-3-flash-preview,dictator,20,3000,1,I share 1500 dollars.,1500.0,,1.3362562656402588,0.5
20260115T093658Z,2026-01-15T09:37:46.985860+00:00,google/gemini-3-flash-preview,dictator,20,3000,2,I share 1500 dollars.,1500.0,,1.2974610328674316,0.5
20260115T093658Z,2026-01-15T09:37:48.487880+00:00,google/gemini-3-flash-preview,dictator,20,3000,3,I share 1500 dollars,1500.0,,1.3647456169128418,0.5
20260115T093658Z,2026-01-15T09:37:54.482072+00:00,google/gemini-3-flash-preview,dictator,20,250000,1,I share 125000 dollars,125000.0,,1.3534884452819824,0.5
20260115T093658Z,2026-01-15T09:37:56.040040+00:00,google/gemini-3-flash-preview,dictator,20,250000,2,I share 125000 dollars,125000.0,,0.9976892471313475,0.5
20260115T093658Z,2026-01-15T09:37:57.240073+00:00,google/gemini-3-flash-preview,dictator,20,250000,3,I share 125000 dollars,125000.0,,1.2127692699432373,0.5
20260115T093658Z,2026-01-15T09:38:03.159751+00:00,google/gemini-3-flash-preview,dictator,100,10,1,I share 1 dollar.,,no_match,1.0280301570892334,
20260115T093658Z,2026-01-15T09:38:04.394975+00:00,google/gemini-3-flash-preview,dictator,100,10,2,I share 2 dollars.,2.0,,1.1225483417510986,0.2
20260115T093658Z,2026-01-15T09:38:05.719749+00:00,google/gemini-3-flash-preview,dictator,100,10,3,I share 1 dollars.,1.0,,1.130632400512695,0.1
20260115T093658Z,2026-01-15T09:38:11.150505+00:00,google/gemini-3-flash-preview,dictator,100,3000,1,I share 30 dollars.,30.0,,1.2284953594207764,0.01
20260115T093658Z,2026-01-15T09:38:12.584350+00:00,google/gemini-3-flash-preview,dictator,100,3000,2,I share 150 dollars.,150.0,,1.3323974609375,0.05
20260115T093658Z,2026-01-15T09:38:14.121492+00:00,google/gemini-3-flash-preview,dictator,100,3000,3,I share 100 dollars.,100.0,,1.279794454574585,0.0333333333333333
20260115T093658Z,2026-01-15T09:38:19.930648+00:00,google/gemini-3-flash-preview,dictator,100,250000,1,I share 2500 dollars.,2500.0,,1.0693881511688232,0.01
20260115T093658Z,2026-01-15T09:38:21.205169+00:00,google/gemini-3-flash-preview,dictator,100,250000,2,I share 2500 dollars.,2500.0,,7.457231044769287,0.01
20260115T093658Z,2026-01-15T09:38:28.868096+00:00,google/gemini-3-flash-preview,dictator,100,250000,3,I share 2500 dollars.,2500.0,,1.20678973197937,0.01
