model,game,social_distance,money,rep,raw_response,share,share_pct,latency_s
deepseek/deepseek-v3.2,dictator,1,8,1,I share 4 dollars.,4.0,0.5,22.355367422103882
deepseek/deepseek-v3.2,dictator,1,8,2,I share 4 dollars.,4.0,0.5,4.752959489822388
deepseek/deepseek-v3.2,dictator,1,8,3,I share 4 dollars.,4.0,0.5,3.788977861404419
deepseek/deepseek-v3.2,dictator,1,2,1,I share 1 dollar.,1.0,0.5,21.895363807678223
deepseek/deepseek-v3.2,dictator,1,2,2,I share 1 dollar.,1.0,0.5,3.5605409145355225
deepseek/deepseek-v3.2,dictator,1,2,3,I share 1 dollar.,1.0,0.5,5.4988744258880615
deepseek/deepseek-v3.2,dictator,1,1,1,I share 0.50 dollars.,0.5,0.5,22.202943325042725
deepseek/deepseek-v3.2,dictator,1,1,2,I share 0.50 dollars.,0.5,0.5,7.099605083465576
deepseek/deepseek-v3.2,dictator,1,1,3,I share 0.50 dollars.,0.5,0.5,6.688473701477051
deepseek/deepseek-v3.2,dictator,1,3,1,I share $1.50 dollars.,1.5,0.5,23.296155214309692
deepseek/deepseek-v3.2,dictator,1,3,2,I share 1.5 dollars,1.5,0.5,10.594589471817017
deepseek/deepseek-v3.2,dictator,1,3,3,I share 1 dollars.,1.0,0.3333333333333333,3.381903886795044
deepseek/deepseek-v3.2,dictator,1,5,1,I share 2.50 dollars.,2.5,0.5,25.16867208480835
deepseek/deepseek-v3.2,dictator,1,5,2,I share 2.50 dollars.,2.5,0.5,7.369490146636963
deepseek/deepseek-v3.2,dictator,1,5,3,I share $2.5 dollars.,2.5,0.5,5.785851716995239
deepseek/deepseek-v3.2,dictator,1,10,1,I share 5 dollars.,5.0,0.5,26.142136096954346
deepseek/deepseek-v3.2,dictator,1,10,2,I share 5 dollars.,5.0,0.5,5.409621953964233
deepseek/deepseek-v3.2,dictator,1,10,3,I share 5 dollars.,5.0,0.5,12.123282670974731
deepseek/deepseek-v3.2,dictator,1,18,1,I share 9 dollars.,9.0,0.5,7.20007586479187
deepseek/deepseek-v3.2,dictator,1,18,2,I share 9 dollars.,9.0,0.5,3.365621566772461
deepseek/deepseek-v3.2,dictator,1,18,3,I share 9 dollars.,9.0,0.5,5.257979154586792
deepseek/deepseek-v3.2,dictator,1,63,1,I share 31 dollars.,31.0,0.49206349206349204,5.292967319488525
deepseek/deepseek-v3.2,dictator,1,63,2,I share 31 dollars.,31.0,0.49206349206349204,3.302593231201172
deepseek/deepseek-v3.2,dictator,1,63,3,I share 31 dollars.,31.0,0.49206349206349204,0.7749347686767578
deepseek/deepseek-v3.2,dictator,1,27,1,I share 13 dollars.,13.0,0.48148148148148145,6.184942007064819
deepseek/deepseek-v3.2,dictator,1,27,2,I share 13 dollars.,13.0,0.48148148148148145,6.167539596557617
deepseek/deepseek-v3.2,dictator,1,27,3,I share 13 dollars.,13.0,0.48148148148148145,6.722783803939819
deepseek/deepseek-v3.2,dictator,1,41,1,I share 20 dollars.,20.0,0.4878048780487805,8.856983661651611
deepseek/deepseek-v3.2,dictator,1,41,2,I share 20 dollars.,20.0,0.4878048780487805,3.0164806842803955
deepseek/deepseek-v3.2,dictator,1,41,3,I share $20 dollars,20.0,0.4878048780487805,9.42337679862976
deepseek/deepseek-v3.2,dictator,1,12,1,I share 6 dollars,6.0,0.5,17.092430353164673
deepseek/deepseek-v3.2,dictator,1,12,2,I share 6 dollars.,6.0,0.5,6.667821645736694
deepseek/deepseek-v3.2,dictator,1,12,3,I share 6 dollars.,6.0,0.5,5.42643666267395
deepseek/deepseek-v3.2,dictator,1,95,1,I share 48 dollars.,48.0,0.5052631578947369,14.060197591781616
deepseek/deepseek-v3.2,dictator,1,95,2,I share 48 dollars.,48.0,0.5052631578947369,2.362053155899048
deepseek/deepseek-v3.2,dictator,1,95,3,I share 48 dollars.,48.0,0.5052631578947369,6.451765060424805
deepseek/deepseek-v3.2,dictator,1,144,1,I share $72 dollars.,72.0,0.5,9.497970581054688
