model,game,social_distance,money,rep,raw_response,share,share_pct,latency_s
x-ai/grok-4.1-fast,dictator,1,8,1,I share 4 dollars,4.0,0.5,12.529818773269652
x-ai/grok-4.1-fast,dictator,1,8,2,I share 4 dollars,4.0,0.5,5.533420562744141
x-ai/grok-4.1-fast,dictator,1,8,3,I share 4 dollars,4.0,0.5,5.806194067001343
x-ai/grok-4.1-fast,dictator,1,1,1,I share 0.50 dollars,0.5,0.5,12.200522899627686
x-ai/grok-4.1-fast,dictator,1,1,2,I share 0.5 dollars,0.5,0.5,6.859627962112427
x-ai/grok-4.1-fast,dictator,1,1,3,I share 0.50 dollars,0.5,0.5,6.598548650741577
x-ai/grok-4.1-fast,dictator,1,3,1,I share 2 dollars,2.0,0.6666666666666666,13.338852405548096
x-ai/grok-4.1-fast,dictator,1,3,2,I share 2 dollars,2.0,0.6666666666666666,6.627456188201904
x-ai/grok-4.1-fast,dictator,1,3,3,I share 2 dollars,2.0,0.6666666666666666,6.03522801399231
x-ai/grok-4.1-fast,dictator,1,2,1,I share 1 dollars,1.0,0.5,12.67037868499756
x-ai/grok-4.1-fast,dictator,1,2,2,I share 1 dollars,1.0,0.5,7.5085132122039795
x-ai/grok-4.1-fast,dictator,1,2,3,I share 1 dollars,1.0,0.5,7.361836671829224
x-ai/grok-4.1-fast,dictator,1,5,1,I share 2.50 dollars,2.5,0.5,11.807218551635742
x-ai/grok-4.1-fast,dictator,1,5,2,I share 3 dollars,3.0,0.6,10.566781520843506
x-ai/grok-4.1-fast,dictator,1,5,3,I share 3 dollars,3.0,0.6,8.064078569412231
x-ai/grok-4.1-fast,dictator,1,10,1,I share 5 dollars,5.0,0.5,12.364168643951416
x-ai/grok-4.1-fast,dictator,1,10,2,I share 5 dollars,5.0,0.5,7.966969728469849
x-ai/grok-4.1-fast,dictator,1,10,3,I share 5 dollars,5.0,0.5,10.949851512908936
x-ai/grok-4.1-fast,dictator,1,18,1,I share 9 dollars,9.0,0.5,4.272074460983276
x-ai/grok-4.1-fast,dictator,1,18,2,I share 9 dollars,9.0,0.5,6.327219247817993
x-ai/grok-4.1-fast,dictator,1,18,3,I share 9 dollars,9.0,0.5,6.359960317611694
x-ai/grok-4.1-fast,dictator,1,12,1,I share 6 dollars,6.0,0.5,6.541561126708984
x-ai/grok-4.1-fast,dictator,1,12,2,I share 6 dollars,6.0,0.5,5.783874273300171
