condition,model,game,temperature,social_distance,money,rep,raw_response,share,share_pct,latency_s
altprompt,deepseek/deepseek-v3.2,dictator,,1,1,1,I share 0.50 dollars,0.5,0.5,1.7017366886138916
altprompt,deepseek/deepseek-v3.2,dictator,,1,1,2,I share $0.50 dollars.,0.5,0.5,2.29782772064209
altprompt,deepseek/deepseek-v3.2,dictator,,1,1,3,I share $0.50 dollars.,0.5,0.5,2.1083030700683594
altprompt,deepseek/deepseek-v3.2,dictator,,1,27,1,I share $13 dollars.,13.0,0.48148148148148145,3.0729987621307373
altprompt,deepseek/deepseek-v3.2,dictator,,1,27,2,I share 15 dollars.,15.0,0.5555555555555556,1.8079333305358887
altprompt,deepseek/deepseek-v3.2,dictator,,1,27,3,I share 15 dollars,15.0,0.5555555555555556,2.35899019241333
altprompt,deepseek/deepseek-v3.2,dictator,,1,1135,1,I share 567 dollars.,567.0,0.4995594713656388,3.1921286582946777
altprompt,deepseek/deepseek-v3.2,dictator,,1,1135,2,I share $567.50 dollars.,567.5,0.5,2.6088736057281494
altprompt,deepseek/deepseek-v3.2,dictator,,1,1135,3,I share $568 dollars.,568.0,0.5004405286343613,2.328791856765747
altprompt,deepseek/deepseek-v3.2,dictator,,1,95,1,I share 47 dollars.,47.0,0.49473684210526314,2.536821126937866
altprompt,deepseek/deepseek-v3.2,dictator,,1,95,2,I share $47 dollars,47.0,0.49473684210526314,2.9909214973449707
altprompt,deepseek/deepseek-v3.2,dictator,,1,95,3,I share 47 dollars.,47.0,0.49473684210526314,3.8939368724823
altprompt,deepseek/deepseek-v3.2,dictator,,1,328,1,I share $164 dollars,164.0,0.5,5.4889609813690186
altprompt,deepseek/deepseek-v3.2,dictator,,1,328,2,I share 164 dollars.,164.0,0.5,2.7300832271575928
altprompt,deepseek/deepseek-v3.2,dictator,,1,328,3,I share 200 dollars,200.0,0.6097560975609756,2.1820473670959473
altprompt,deepseek/deepseek-v3.2,dictator,,1,10,1,I share 8 dollars,8.0,0.8,1.5398986339569092
altprompt,deepseek/deepseek-v3.2,dictator,,1,10,2,I share 10 dollars,10.0,1.0,6.427989482879639
altprompt,deepseek/deepseek-v3.2,dictator,,1,10,3,I share 0 dollars,0.0,0.0,1.5099995136260986
altprompt,deepseek/deepseek-v3.2,dictator,,1,3926,1,I share 1963 dollars.,1963.0,0.5,2.012563467025757
altprompt,deepseek/deepseek-v3.2,dictator,,1,3926,2,"I share $1,963 dollars.",1963.0,0.5,2.18027400970459
altprompt,deepseek/deepseek-v3.2,dictator,,1,3926,3,"I share $1,963 dollars.",1963.0,0.5,2.7653675079345703
altprompt,deepseek/deepseek-v3.2,dictator,,1,162379,1,"I share $81,189.50 dollars.",81189.5,0.5,2.7847864627838135
altprompt,deepseek/deepseek-v3.2,dictator,,1,162379,2,I share 81690 dollars,81690.0,0.5030822951243695,1.6830108165740967
altprompt,deepseek/deepseek-v3.2,dictator,,1,162379,3,"I share $81,189.50 dollars.",81189.5,0.5,2.6267149448394775
altprompt,deepseek/deepseek-v3.2,dictator,,1,13578,1,I share $6800 dollars.,6800.0,0.5008101340403595,1.8927030563354492
altprompt,deepseek/deepseek-v3.2,dictator,,1,13578,2,I share 6789 dollars,6789.0,0.5,1.5146498680114746
altprompt,deepseek/deepseek-v3.2,dictator,,1,13578,3,I share 6789 dollars.,6789.0,0.5,6.801728248596191
altprompt,deepseek/deepseek-v3.2,dictator,,1,46962,1,I share 23500 dollars.,23500.0,0.5004045824283463,1.6137034893035889
altprompt,deepseek/deepseek-v3.2,dictator,,1,46962,2,I share $23500 dollars,23500.0,0.5004045824283463,6.823402643203735
altprompt,deepseek/deepseek-v3.2,dictator,,1,46962,3,I share 23481 dollars,23481.0,0.5,1.6295676231384277
altprompt,deepseek/deepseek-v3.2,dictator,,2,10,1,I share 4 dollars.,4.0,0.4,2.080359697341919
