condition,model,game,temperature,social_distance,money,rep,raw_response,share,share_pct,latency_s
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,95,1,I share 47 dollars.,47.0,0.49473684210526314,4.599362134933472
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,95,2,I share 47 dollars.,47.0,0.49473684210526314,1.5850653648376465
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,95,3,I share 48 dollars.,48.0,0.5052631578947369,2.119143009185791
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,328,1,I share 164 dollars.,164.0,0.5,2.8833882808685303
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,328,2,I share 164 dollars.,164.0,0.5,3.0325145721435547
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,328,3,I share 164 dollars.,164.0,0.5,2.976592779159546
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,1135,1,I share 567 dollars.,567.0,0.4995594713656388,2.8632349967956543
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,1135,2,I share 567 dollars.,567.0,0.4995594713656388,5.423566818237305
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,1135,3,I share 567 dollars.,567.0,0.4995594713656388,1.727477788925171
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,10,1,I share 5 dollars.,5.0,0.5,2.8718879222869873
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,10,2,I share 5 dollars.,5.0,0.5,2.092514753341675
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,10,3,I share 5 dollars.,5.0,0.5,6.134688138961792
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,1,1,I share 0.50 dollars.,0.5,0.5,3.035609245300293
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,1,2,I share 0.50 dollars.,0.5,0.5,3.0340769290924072
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,1,3,I share 0.50 dollars.,0.5,0.5,6.47031569480896
temp_low,deepseek/deepseek-v3.2,dictator,0.3,1,162379,1,"I share $81,189 dollars.",81189.0,0.4999969207840915,1.15220308303833
