condition,model,game,temperature,social_distance,money,rep,raw_response,share,share_pct,latency_s
altprompt,x-ai/grok-4.1-fast,dictator,,1,1,1,I share 1 dollars,1.0,1.0,3.4739747047424316
altprompt,x-ai/grok-4.1-fast,dictator,,1,1,2,I share 0.8 dollars,0.8,0.8,4.504161596298218
altprompt,x-ai/grok-4.1-fast,dictator,,1,1,3,I share 1 dollars,1.0,1.0,3.688507556915283
altprompt,x-ai/grok-4.1-fast,dictator,,1,27,1,I share 20 dollars,20.0,0.7407407407407407,4.060699462890625
altprompt,x-ai/grok-4.1-fast,dictator,,1,27,2,I share 20 dollars,20.0,0.7407407407407407,4.31488823890686
altprompt,x-ai/grok-4.1-fast,dictator,,1,27,3,I share 25 dollars,25.0,0.9259259259259259,5.332416534423828
altprompt,x-ai/grok-4.1-fast,dictator,,1,10,1,I share 7 dollars,7.0,0.7,4.908186912536621
altprompt,x-ai/grok-4.1-fast,dictator,,1,10,2,I share 8 dollars,8.0,0.8,4.133620977401733
altprompt,x-ai/grok-4.1-fast,dictator,,1,10,3,I share 8 dollars,8.0,0.8,5.590074062347412
altprompt,x-ai/grok-4.1-fast,dictator,,1,1135,1,I share 1135 dollars,1135.0,1.0,5.025492429733276
altprompt,x-ai/grok-4.1-fast,dictator,,1,1135,2,I share 1135 dollars,1135.0,1.0,4.957422494888306
altprompt,x-ai/grok-4.1-fast,dictator,,1,1135,3,I share 800 dollars,800.0,0.7048458149779736,5.464581727981567
altprompt,x-ai/grok-4.1-fast,dictator,,1,328,1,I share 300 dollars,300.0,0.9146341463414634,4.585237741470337
altprompt,x-ai/grok-4.1-fast,dictator,,1,328,2,I share 200 dollars,200.0,0.6097560975609756,5.331972360610962
altprompt,x-ai/grok-4.1-fast,dictator,,1,328,3,I share 328 dollars,328.0,1.0,5.714191436767578
altprompt,x-ai/grok-4.1-fast,dictator,,1,95,1,I share $50 dollars,50.0,0.5263157894736842,6.637371301651001
altprompt,x-ai/grok-4.1-fast,dictator,,1,95,2,I share 50 dollars,50.0,0.5263157894736842,5.55878210067749
altprompt,x-ai/grok-4.1-fast,dictator,,1,95,3,I share 50 dollars,50.0,0.5263157894736842,5.095324516296387
altprompt,x-ai/grok-4.1-fast,dictator,,1,3926,1,I share 1963 dollars,1963.0,0.5,5.510149002075195
altprompt,x-ai/grok-4.1-fast,dictator,,1,3926,2,I share 2500 dollars,2500.0,0.6367804381049414,5.202827453613281
altprompt,x-ai/grok-4.1-fast,dictator,,1,3926,3,I share 1963 dollars,1963.0,0.5,5.017667770385742
altprompt,x-ai/grok-4.1-fast,dictator,,1,250000,1,I share 150000 dollars,150000.0,0.6,3.8403573036193848
altprompt,x-ai/grok-4.1-fast,dictator,,1,250000,2,I share 200000 dollars,200000.0,0.8,4.449090957641602
altprompt,x-ai/grok-4.1-fast,dictator,,1,250000,3,I share 125000 dollars,125000.0,0.5,3.7877585887908936
altprompt,x-ai/grok-4.1-fast,dictator,,2,1,1,I share 0.70 dollars,0.7,0.7,3.7175674438476562
altprompt,x-ai/grok-4.1-fast,dictator,,2,1,2,I share 0.8 dollars,0.8,0.8,3.4226999282836914
altprompt,x-ai/grok-4.1-fast,dictator,,2,1,3,I share 0.70 dollars,0.7,0.7,3.8165738582611084
altprompt,x-ai/grok-4.1-fast,dictator,,1,46962,1,I share 40000 dollars,40000.0,0.8517524807291001,7.640140771865845
