condition,model,game,temperature,social_distance,money,rep,raw_response,share,share_pct,latency_s
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,1,1,I share 0.50 dollars,0.5,0.5,4.185538053512573
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,1,2,I share 0.50 dollars,0.5,0.5,3.7129087448120117
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,1,3,I share 0.50 dollars,0.5,0.5,6.047882080078125
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,328,1,I share 164 dollars,164.0,0.5,5.92374849319458
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,328,2,I share 164 dollars,164.0,0.5,4.395581245422363
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,328,3,I share 164 dollars,164.0,0.5,3.7995362281799316
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,10,1,I share 5 dollars,5.0,0.5,6.279141187667847
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,10,2,I share 5 dollars,5.0,0.5,4.064977169036865
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,10,3,I share 5 dollars,5.0,0.5,4.282909393310547
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,1135,1,I share 567 dollars,567.0,0.4995594713656388,5.009775161743164
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,1135,2,I share 567 dollars,567.0,0.4995594713656388,5.206015586853027
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,1135,3,I share 567 dollars.,567.0,0.4995594713656388,6.302582502365112
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,27,1,I share 14 dollars,14.0,0.5185185185185185,6.998195648193359
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,27,2,I share 14 dollars,14.0,0.5185185185185185,3.8941640853881836
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,27,3,I share 14 dollars,14.0,0.5185185185185185,7.642120599746704
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,95,1,I share 47 dollars,47.0,0.49473684210526314,6.586849689483643
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,95,2,I share 48 dollars.,48.0,0.5052631578947369,7.2420268058776855
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,95,3,I share 50 dollars.,50.0,0.5263157894736842,6.007935523986816
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,13578,1,I share 6789 dollars,6789.0,0.5,4.472018241882324
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,13578,2,I share 6789 dollars,6789.0,0.5,3.8399624824523926
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,13578,3,I share 6789 dollars,6789.0,0.5,4.379739046096802
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,3926,1,I share 1963 dollars,1963.0,0.5,4.423168659210205
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,3926,2,I share 1963 dollars,1963.0,0.5,4.759632349014282
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,3926,3,I share 1963 dollars,1963.0,0.5,5.003078937530518
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,250000,1,I share 125000 dollars,125000.0,0.5,3.767535448074341
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,250000,2,I share 125000 dollars,125000.0,0.5,4.501272916793823
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,250000,3,I share 125000 dollars,125000.0,0.5,4.091902256011963
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,46962,1,I share 23481 dollars,23481.0,0.5,6.874126672744751
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,46962,2,I share 23481 dollars,23481.0,0.5,5.309801816940308
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,46962,3,I share 23481 dollars,23481.0,0.5,5.485298156738281
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,162379,1,I share 81190 dollars,81190.0,0.5000030792159085,5.847032308578491
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,162379,2,I share 81190 dollars,81190.0,0.5000030792159085,6.894559860229492
temp_high,x-ai/grok-4.1-fast,dictator,1.5,1,162379,3,I share 81190 dollars,81190.0,0.5000030792159085,6.653089761734009
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,10,1,I share 5 dollars,5.0,0.5,4.113600969314575
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,10,2,I share 5 dollars,5.0,0.5,4.08939266204834
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,10,3,I share 5 dollars,5.0,0.5,2.852769613265991
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,1,1,I share 0.50 dollars,0.5,0.5,7.966370582580566
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,1,2,I share 0.5 dollars,0.5,0.5,5.1279144287109375
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,1,3,I share 0.5 dollars,0.5,0.5,5.332274436950684
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,328,1,I share 164 dollars,164.0,0.5,4.708964109420776
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,328,2,I share 164 dollars,164.0,0.5,4.026896715164185
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,328,3,I share 164 dollars,164.0,0.5,3.784276247024536
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,27,1,I share 14 dollars,14.0,0.5185185185185185,7.586943864822388
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,27,2,I share 14 dollars,14.0,0.5185185185185185,6.205420255661011
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,27,3,I share 14 dollars,14.0,0.5185185185185185,4.73451828956604
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,3926,1,I share 1963 dollars,1963.0,0.5,4.515973091125488
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,3926,2,I share 1963 dollars,1963.0,0.5,3.3723373413085938
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,3926,3,I share 1963 dollars.,1963.0,0.5,4.422163009643555
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,95,1,I share 48 dollars,48.0,0.5052631578947369,8.089150190353394
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,95,2,I share 47 dollars,47.0,0.49473684210526314,4.545222043991089
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,95,3,I share 50 dollars,50.0,0.5263157894736842,6.971049547195435
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,1135,1,I share 567 dollars,567.0,0.4995594713656388,7.006755113601685
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,1135,2,I share 567 dollars,567.0,0.4995594713656388,5.0186028480529785
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,1135,3,I share 567 dollars,567.0,0.4995594713656388,6.496504068374634
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,13578,1,I share 6789 dollars,6789.0,0.5,4.96606707572937
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,13578,2,I share 6789 dollars,6789.0,0.5,4.499870538711548
temp_high,x-ai/grok-4.1-fast,dictator,1.5,2,13578,3,"I share 6,789 dollars",6789.0,0.5,7.324608325958252
