condition,model,game,temperature,social_distance,money,rep,raw_response,share,share_pct,latency_s
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,10,1,I share 5 dollars,5.0,0.5,4.95163631439209
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,10,2,I share 5 dollars,5.0,0.5,3.8838157653808594
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,10,3,I share 5 dollars,5.0,0.5,4.235002756118774
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,328,1,I share 164 dollars,164.0,0.5,4.5367584228515625
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,328,2,I share 164 dollars,164.0,0.5,3.4714813232421875
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,328,3,I share 164 dollars,164.0,0.5,5.851375579833984
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,27,1,I share 15 dollars,15.0,0.5555555555555556,4.378203392028809
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,27,2,I share 14 dollars,14.0,0.5185185185185185,7.397729873657227
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,27,3,I share 14 dollars,14.0,0.5185185185185185,4.458497524261475
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,95,1,I share 50 dollars,50.0,0.5263157894736842,6.544249534606934
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,95,2,I share 48 dollars,48.0,0.5052631578947369,5.058055400848389
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,95,3,I share 48 dollars,48.0,0.5052631578947369,4.938500642776489
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,1135,1,I share 567 dollars,567.0,0.4995594713656388,6.622723340988159
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,1135,2,I share 567 dollars,567.0,0.4995594713656388,5.301696300506592
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,1135,3,I share 567 dollars,567.0,0.4995594713656388,5.65682315826416
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,1,1,I share 0.5 dollars,0.5,0.5,4.808181285858154
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,1,2,I share 0.5 dollars,0.5,0.5,8.0671706199646
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,1,3,I share 0.5 dollars,0.5,0.5,4.8901145458221436
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,3926,1,I share 1963 dollars,1963.0,0.5,5.124780654907227
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,3926,2,I share 1963 dollars,1963.0,0.5,3.5663113594055176
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,3926,3,I share 1963 dollars,1963.0,0.5,3.595780849456787
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,13578,1,I share 6789 dollars,6789.0,0.5,4.823357582092285
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,13578,2,I share 6789 dollars,6789.0,0.5,4.2272047996521
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,13578,3,I share 6789 dollars,6789.0,0.5,3.312382936477661
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,250000,1,I share 125000 dollars,125000.0,0.5,3.4254133701324463
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,250000,2,I share 125000 dollars,125000.0,0.5,3.72074818611145
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,250000,3,"I share 125,000 dollars",125000.0,0.5,4.296461820602417
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,46962,1,I share 23481 dollars,23481.0,0.5,5.500952482223511
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,46962,2,I share 23481 dollars,23481.0,0.5,3.9673149585723877
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,46962,3,I share 23481 dollars,23481.0,0.5,5.383669853210449
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,1,1,I share 0.5 dollars,0.5,0.5,7.004215955734253
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,1,2,I share 0.50 dollars,0.5,0.5,4.366117238998413
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,1,3,I share 0.50 dollars,0.5,0.5,4.6680662631988525
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,162379,1,I share 81189 dollars,81189.0,0.4999969207840915,5.2331483364105225
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,162379,2,I share 81189 dollars,81189.0,0.4999969207840915,6.074755907058716
temp_low,x-ai/grok-4.1-fast,dictator,0.3,1,162379,3,I share 81190 dollars,81190.0,0.5000030792159085,6.7509849071502686
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,10,1,I share 5 dollars,5.0,0.5,3.8319671154022217
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,10,2,I share 5 dollars,5.0,0.5,3.3993799686431885
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,10,3,I share 5 dollars,5.0,0.5,4.078100204467773
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,27,1,I share 14 dollars,14.0,0.5185185185185185,5.670938968658447
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,27,2,I share 14 dollars,14.0,0.5185185185185185,4.41532826423645
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,27,3,I share 14 dollars,14.0,0.5185185185185185,4.133000612258911
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,328,1,I share 164 dollars,164.0,0.5,4.00972056388855
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,328,2,I share 164 dollars,164.0,0.5,4.075395107269287
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,328,3,I share 164 dollars,164.0,0.5,3.7087206840515137
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,95,1,I share 50 dollars,50.0,0.5263157894736842,6.5764195919036865
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,95,2,I share 48 dollars,48.0,0.5052631578947369,4.732900619506836
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,95,3,I share 50 dollars,50.0,0.5263157894736842,4.459256887435913
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,3926,1,I share 1963 dollars,1963.0,0.5,3.773122549057007
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,3926,2,I share 1963 dollars,1963.0,0.5,5.136041879653931
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,3926,3,I share 1963 dollars,1963.0,0.5,4.251270294189453
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,13578,1,I share 6789 dollars,6789.0,0.5,3.340505599975586
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,13578,2,I share 6789 dollars,6789.0,0.5,4.279865026473999
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,13578,3,I share 6789 dollars,6789.0,0.5,4.1681249141693115
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,1135,1,I share 568 dollars,568.0,0.5004405286343613,6.833602428436279
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,1135,2,I share 567 dollars,567.0,0.4995594713656388,4.695950984954834
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,1135,3,I share 567 dollars,567.0,0.4995594713656388,4.991402626037598
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,46962,1,I share 23481 dollars,23481.0,0.5,4.02358865737915
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,46962,2,I share 23481 dollars,23481.0,0.5,3.1124107837677
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,46962,3,I share 23481 dollars,23481.0,0.5,3.8602726459503174
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,250000,1,I share 125000 dollars,125000.0,0.5,4.419600248336792
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,250000,2,I share 125000 dollars,125000.0,0.5,4.2090888023376465
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,250000,3,I share 125000 dollars,125000.0,0.5,6.307839870452881
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,1,1,I share 0.50 dollars,0.5,0.5,3.740112543106079
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,1,2,I share 0.50 dollars,0.5,0.5,4.205119371414185
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,1,3,I share 0.50 dollars,0.5,0.5,4.045352458953857
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,10,1,I share 5 dollars,5.0,0.5,3.8134896755218506
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,10,2,I share 5 dollars,5.0,0.5,3.129962921142578
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,10,3,I share 5 dollars,5.0,0.5,4.653154373168945
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,162379,1,I share 81190 dollars,81190.0,0.5000030792159085,6.28922963142395
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,162379,2,I share 81189 dollars,81189.0,0.4999969207840915,5.708478212356567
temp_low,x-ai/grok-4.1-fast,dictator,0.3,2,162379,3,I share 81190 dollars,81190.0,0.5000030792159085,6.51094126701355
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,27,1,I share 13 dollars,13.0,0.48148148148148145,4.768438100814819
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,27,2,I share 14 dollars,14.0,0.5185185185185185,5.1738035678863525
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,27,3,I share 14 dollars,14.0,0.5185185185185185,4.378663539886475
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,95,1,I share 40 dollars,40.0,0.42105263157894735,4.423381328582764
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,95,2,I share 40 dollars,40.0,0.42105263157894735,5.69655442237854
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,95,3,I share 40 dollars,40.0,0.42105263157894735,5.34476900100708
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,328,1,I share 164 dollars,164.0,0.5,5.420927286148071
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,328,2,I share 164 dollars,164.0,0.5,4.506309270858765
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,328,3,I share 164 dollars,164.0,0.5,3.238638401031494
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,1135,1,I share 567 dollars,567.0,0.4995594713656388,6.649160861968994
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,1135,2,I share 567 dollars,567.0,0.4995594713656388,5.32331657409668
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,1135,3,I share 500 dollars,500.0,0.44052863436123346,5.244571208953857
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,3926,1,I share 1963 dollars,1963.0,0.5,3.984903573989868
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,3926,2,I share 1500 dollars,1500.0,0.38206826286296486,4.91319465637207
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,3926,3,I share 1500 dollars,1500.0,0.38206826286296486,8.096409797668457
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,13578,1,I share 6789 dollars,6789.0,0.5,3.7112884521484375
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,13578,2,I share 6789 dollars,6789.0,0.5,7.581872463226318
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,13578,3,I share 6789 dollars,6789.0,0.5,5.036238193511963
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,46962,1,I share 23481 dollars,23481.0,0.5,5.178680419921875
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,46962,2,I share 23481 dollars,23481.0,0.5,4.969874382019043
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,46962,3,I share 23481 dollars,23481.0,0.5,6.0643393993377686
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,162379,1,I share 81189 dollars,81189.0,0.4999969207840915,7.2423951625823975
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,162379,2,I share 25000 dollars,25000.0,0.15396079542305346,6.018401384353638
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,162379,3,I share 50000 dollars,50000.0,0.30792159084610693,6.640341758728027
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,10,1,I share 4 dollars,4.0,0.4,3.9668478965759277
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,10,2,I share 4 dollars,4.0,0.4,4.020626068115234
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,10,3,I share 5 dollars,5.0,0.5,4.077523708343506
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,250000,1,I share 125000 dollars,125000.0,0.5,6.1483845710754395
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,250000,2,I share 100000 dollars,100000.0,0.4,5.563508987426758
temp_low,x-ai/grok-4.1-fast,dictator,0.3,10,250000,3,I share 125000 dollars,125000.0,0.5,6.2339441776275635
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,1,1,I share 0.50 dollars,0.5,0.5,5.491108655929565
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,1,2,I share 0.50 dollars,0.5,0.5,5.191491603851318
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,1,3,I share 0.5 dollars,0.5,0.5,6.244863748550415
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,27,1,I share 13 dollars,13.0,0.48148148148148145,6.073585033416748
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,27,2,I share 12 dollars,12.0,0.4444444444444444,5.331434726715088
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,27,3,I share 13 dollars,13.0,0.48148148148148145,6.601046562194824
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,1135,1,I share 500 dollars,500.0,0.44052863436123346,4.748149394989014
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,1135,2,I share 300 dollars,300.0,0.2643171806167401,5.9960362911224365
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,1135,3,I share 567 dollars,567.0,0.4995594713656388,7.410573244094849
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,328,1,I share 100 dollars,100.0,0.3048780487804878,8.438737392425537
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,328,2,I share 120 dollars,120.0,0.36585365853658536,6.131471157073975
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,328,3,I share 150 dollars,150.0,0.4573170731707317,6.294950723648071
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,95,1,I share 40 dollars,40.0,0.42105263157894735,5.703772068023682
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,95,2,I share 45 dollars,45.0,0.47368421052631576,8.902325868606567
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,95,3,I share 40 dollars,40.0,0.42105263157894735,12.681651830673218
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,3926,1,I share 1000 dollars,1000.0,0.2547121752419766,6.08679461479187
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,3926,2,I share 1000 dollars,1000.0,0.2547121752419766,6.913915634155273
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,3926,3,I share 1000 dollars,1000.0,0.2547121752419766,7.061995267868042
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,1,1,I share 0.50 dollars,0.5,0.5,6.282334804534912
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,1,2,I share 0.50 dollars,0.5,0.5,5.008119821548462
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,1,3,I share 0.50 dollars,0.5,0.5,4.68842077255249
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,10,1,I share 3 dollars,3.0,0.3,5.6285693645477295
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,10,2,I share 2 dollars,2.0,0.2,4.3435890674591064
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,10,3,I share 5 dollars,5.0,0.5,3.382389783859253
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,250000,1,I share 75000 dollars,75000.0,0.3,7.109037160873413
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,250000,2,I share 50000 dollars,50000.0,0.2,5.229551315307617
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,250000,3,I share 50000 dollars,50000.0,0.2,7.1254942417144775
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,13578,1,I share 4000 dollars,4000.0,0.29459419649432905,12.735174655914307
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,13578,2,I share 3000 dollars,3000.0,0.2209456473707468,12.849131107330322
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,13578,3,I share 3500 dollars,3500.0,0.25776992193253795,9.670608758926392
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,46962,1,I share 23481 dollars,23481.0,0.5,17.652039289474487
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,46962,2,I share 23481 dollars,23481.0,0.5,11.568265199661255
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,46962,3,I share 15000 dollars,15000.0,0.3194071802734125,11.66957950592041
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,27,1,I share 10 dollars,10.0,0.37037037037037035,7.121605396270752
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,27,2,I share 10 dollars,10.0,0.37037037037037035,5.995929002761841
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,27,3,I share 10 dollars,10.0,0.37037037037037035,3.8132705688476562
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,95,1,I share 47 dollars,47.0,0.49473684210526314,4.254849433898926
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,95,2,I share 47 dollars,47.0,0.49473684210526314,5.226473569869995
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,95,3,I share 20 dollars,20.0,0.21052631578947367,7.7632176876068115
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,328,1,I share 100 dollars,100.0,0.3048780487804878,6.384007692337036
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,328,2,I share 164 dollars,164.0,0.5,6.242336273193359
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,328,3,I share 100 dollars,100.0,0.3048780487804878,6.247130870819092
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,3926,1,I share 1000 dollars,1000.0,0.2547121752419766,8.291887998580933
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,3926,2,I share 1000 dollars,1000.0,0.2547121752419766,5.422600507736206
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,3926,3,I share 1963 dollars,1963.0,0.5,5.8633177280426025
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,162379,1,I share 20000 dollars,20000.0,0.12316863633844279,18.488587141036987
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,162379,2,I share 25000 dollars,25000.0,0.15396079542305346,18.5234055519104
temp_low,x-ai/grok-4.1-fast,dictator,0.3,20,162379,3,I share 40000 dollars,40000.0,0.24633727267688557,13.842144966125488
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,1135,1,I share 567 dollars,567.0,0.4995594713656388,9.419095993041992
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,1135,2,I share 250 dollars,250.0,0.22026431718061673,8.187516689300537
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,1135,3,I share 500 dollars,500.0,0.44052863436123346,13.452578067779541
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,13578,1,I share 6789 dollars,6789.0,0.5,8.348251819610596
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,13578,2,I share 3000 dollars,3000.0,0.2209456473707468,7.160174369812012
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,13578,3,I share 2000 dollars,2000.0,0.14729709824716453,6.042234659194946
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,46962,1,I share 5000 dollars,5000.0,0.10646906009113752,5.515469312667847
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,46962,2,I share 1000 dollars,1000.0,0.0212938120182275,7.605472564697266
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,46962,3,I share 10000 dollars,10000.0,0.21293812018227504,13.518282890319824
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,1,1,I share 0 dollars,0.0,0.0,3.691741704940796
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,1,2,I share 0.50 dollars,0.5,0.5,4.788308382034302
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,1,3,I share 0.50 dollars,0.5,0.5,4.472637414932251
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,250000,1,I share 50000 dollars,50000.0,0.2,4.470672845840454
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,250000,2,I share 25000 dollars,25000.0,0.1,5.122687339782715
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,250000,3,I share 50000 dollars,50000.0,0.2,6.95813250541687
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,10,1,I share 1 dollars,1.0,0.1,4.4640281200408936
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,10,2,I share 1 dollars,1.0,0.1,5.489710330963135
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,10,3,I share 1 dollars,1.0,0.1,4.760676622390747
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,162379,1,I share 81189 dollars,81189.0,0.4999969207840915,8.392482995986938
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,162379,2,I share 25000 dollars,25000.0,0.15396079542305346,13.945291519165039
temp_low,x-ai/grok-4.1-fast,dictator,0.3,50,162379,3,I share 40000 dollars,40000.0,0.24633727267688557,9.514148235321045
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,27,1,I share 1 dollars,1.0,0.037037037037037035,5.4239068031311035
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,27,2,I share 5 dollars,5.0,0.18518518518518517,6.354798316955566
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,27,3,I share 5 dollars,5.0,0.18518518518518517,5.699780464172363
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,95,1,I share 10 dollars,10.0,0.10526315789473684,5.698861598968506
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,95,2,I share 5 dollars,5.0,0.05263157894736842,5.381452798843384
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,95,3,I share 5 dollars,5.0,0.05263157894736842,4.392010927200317
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,328,1,I share 0 dollars,0.0,0.0,5.378013849258423
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,328,2,I share 0 dollars,0.0,0.0,5.34065842628479
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,328,3,I share 0 dollars,0.0,0.0,4.956126928329468
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,1135,1,I share 0 dollars,0.0,0.0,5.501010179519653
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,1135,2,I share 0 dollars,0.0,0.0,6.164248943328857
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,1135,3,I share 50 dollars,50.0,0.04405286343612335,7.292979001998901
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,3926,1,I share 0 dollars,0.0,0.0,6.351080894470215
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,3926,2,I share 0 dollars,0.0,0.0,4.482722043991089
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,3926,3,I share 0 dollars,0.0,0.0,8.217836141586304
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,13578,1,I share 0 dollars,0.0,0.0,5.541391849517822
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,13578,2,I share 500 dollars,500.0,0.03682427456179113,9.998542785644531
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,13578,3,I share 0 dollars,0.0,0.0,7.272408962249756
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,162379,1,I share 0 dollars,0.0,0.0,7.194662809371948
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,162379,2,I share 0 dollars,0.0,0.0,4.9250030517578125
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,162379,3,I share 0 dollars,0.0,0.0,5.436475992202759
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,46962,1,I share 100 dollars,100.0,0.0021293812018227504,9.649816751480103
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,46962,2,I share 0 dollars,0.0,0.0,5.248159170150757
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,46962,3,I share 0 dollars,0.0,0.0,8.66930365562439
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,250000,1,I share 10000 dollars,10000.0,0.04,7.517485618591309
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,250000,2,I share 1000 dollars,1000.0,0.004,6.3740386962890625
temp_low,x-ai/grok-4.1-fast,dictator,0.3,100,250000,3,I share 10000 dollars,10000.0,0.04,4.648794889450073
