run_tag,created_utc,model,game,social_distance,money,rep,raw_response,share,parse_error,latency_s,share_pct
20260115T130317Z,2026-01-15T13:15:17.675912+00:00,x-ai/grok-4.1-fast,ultimatum,2,10,1,I share 5 dollars,5.0,,11.468592166900637,0.5
20260115T130317Z,2026-01-15T13:15:29.347166+00:00,x-ai/grok-4.1-fast,ultimatum,2,10,2,I share 5 dollars,5.0,,5.292158126831055,0.5
20260115T130317Z,2026-01-15T13:15:34.844207+00:00,x-ai/grok-4.1-fast,ultimatum,2,10,3,I share 5 dollars,5.0,,4.1754114627838135,0.5
20260115T130317Z,2026-01-15T13:15:54.472472+00:00,x-ai/grok-4.1-fast,ultimatum,2,3000,1,I share 1500 dollars,1500.0,,6.086673021316528,0.5
20260115T130317Z,2026-01-15T13:16:00.763894+00:00,x-ai/grok-4.1-fast,ultimatum,2,3000,2,I share 1500 dollars,1500.0,,4.32750940322876,0.5
20260115T130317Z,2026-01-15T13:16:05.297161+00:00,x-ai/grok-4.1-fast,ultimatum,2,3000,3,I share 1500 dollars,1500.0,,6.140957593917847,0.5
20260115T130317Z,2026-01-15T13:16:29.939199+00:00,x-ai/grok-4.1-fast,ultimatum,2,250000,1,I share 125000 dollars,125000.0,,6.69745135307312,0.5
20260115T130317Z,2026-01-15T13:16:36.841314+00:00,x-ai/grok-4.1-fast,ultimatum,2,250000,2,I share 125000 dollars,125000.0,,5.725104808807373,0.5
20260115T130317Z,2026-01-15T13:16:42.771214+00:00,x-ai/grok-4.1-fast,ultimatum,2,250000,3,I share 125000 dollars,125000.0,,7.585376024246216,0.5
20260115T130317Z,2026-01-15T13:17:09.702632+00:00,x-ai/grok-4.1-fast,ultimatum,20,10,1,I share 5 dollars,5.0,,5.802196264266968,0.5
20260115T130317Z,2026-01-15T13:17:15.709225+00:00,x-ai/grok-4.1-fast,ultimatum,20,10,2,I share 5 dollars,5.0,,6.980923652648926,0.5
20260115T130317Z,2026-01-15T13:17:22.894400+00:00,x-ai/grok-4.1-fast,ultimatum,20,10,3,I share 4 dollars,4.0,,4.625775575637817,0.4
20260115T130317Z,2026-01-15T13:17:58.916334+00:00,x-ai/grok-4.1-fast,ultimatum,20,3000,1,I share 1200 dollars,1200.0,,8.13192343711853,0.4
20260115T130317Z,2026-01-15T13:18:07.253005+00:00,x-ai/grok-4.1-fast,ultimatum,20,3000,2,I share 1200 dollars,1200.0,,6.917819499969482,0.4
20260115T130317Z,2026-01-15T13:18:14.375203+00:00,x-ai/grok-4.1-fast,ultimatum,20,3000,3,I share 750 dollars,750.0,,9.153916120529177,0.25
20260115T130317Z,2026-01-15T13:18:48.109886+00:00,x-ai/grok-4.1-fast,ultimatum,20,250000,1,I share 100000 dollars,100000.0,,11.410603761672974,0.4
20260115T130317Z,2026-01-15T13:18:59.722306+00:00,x-ai/grok-4.1-fast,ultimatum,20,250000,2,I share 75000 dollars,75000.0,,9.348824739456177,0.3
20260115T130317Z,2026-01-15T13:19:09.273859+00:00,x-ai/grok-4.1-fast,ultimatum,20,250000,3,I share 75000 dollars,75000.0,,9.348311424255373,0.3
20260115T130317Z,2026-01-15T13:19:37.315579+00:00,x-ai/grok-4.1-fast,ultimatum,100,10,1,I share 3 dollars,3.0,,6.610263824462891,0.3
20260115T130317Z,2026-01-15T13:19:44.131844+00:00,x-ai/grok-4.1-fast,ultimatum,100,10,2,I share 2 dollars,2.0,,5.520699739456177,0.2
20260115T130317Z,2026-01-15T13:19:49.856743+00:00,x-ai/grok-4.1-fast,ultimatum,100,10,3,I share 2 dollars,2.0,,5.5306556224823,0.2
20260115T130317Z,2026-01-15T13:20:21.499379+00:00,x-ai/grok-4.1-fast,ultimatum,100,3000,1,I share 600 dollars.,600.0,,8.379778861999512,0.2
20260115T130317Z,2026-01-15T13:20:30.084417+00:00,x-ai/grok-4.1-fast,ultimatum,100,3000,2,I share 1000 dollars,1000.0,,7.184868097305298,0.3333333333333333
20260115T130317Z,2026-01-15T13:20:37.473377+00:00,x-ai/grok-4.1-fast,ultimatum,100,3000,3,I share 1000 dollars,1000.0,,8.862060546875,0.3333333333333333
20260115T130317Z,2026-01-15T13:21:10.447152+00:00,x-ai/grok-4.1-fast,ultimatum,100,250000,1,I share 25000 dollars,25000.0,,6.0160439014434814,0.1
20260115T130317Z,2026-01-15T13:21:16.667535+00:00,x-ai/grok-4.1-fast,ultimatum,100,250000,2,I share 25000 dollars,25000.0,,8.693782329559326,0.1
20260115T130317Z,2026-01-15T13:21:25.565774+00:00,x-ai/grok-4.1-fast,ultimatum,100,250000,3,I share 25000 dollars,25000.0,,6.898169279098511,0.1
